event_id,event_date,anchor_date,event_type,event_group,description,event_regime,is_core_sample,is_pandemic_period,is_post_pandemic,include_in_primary_analysis,window_label,expected_count,row_count,min_relative_day,max_relative_day,anchor_shift_calendar_days,has_anchor,coverage_status,is_complete
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E01,2018-03-22,2018-03-22,tariff_announcement,escalation,US announces Section 301 tariff action on Chinese imports,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E02,2018-04-06,2018-04-06,tariff_announcement,escalation,USTR publishes proposed tariff list targeting Chinese imports,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E03,2018-06-15,2018-06-15,tariff_announcement,escalation,USTR finalizes 25 percent tariffs on 50 billion dollars of Chinese goods,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E04,2018-07-06,2018-07-06,tariff_implementation,escalation,First tranche of bilateral tariffs enters into force,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E05,2018-07-11,2018-07-11,tariff_announcement,escalation,USTR proposes tariffs on an additional 200 billion dollars of Chinese goods,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E06,2018-08-23,2018-08-23,tariff_implementation,escalation,Second tranche of bilateral tariffs enters into force,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E07,2018-09-24,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E08,2018-12-19,2018-12-19,suspension,relief,US postpones scheduled increase of tariffs,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E08,2018-12-19,2018-12-19,suspension,relief,US postpones scheduled increase of tariffs,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E08,2018-12-19,2018-12-19,suspension,relief,US postpones scheduled increase of tariffs,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
E09,2019-03-05,2019-03-05,suspension,relief,US extends suspension of tariff increase,core,True,False,False,True,m1_p1,3,3,-1,1,0,True,complete,True
E09,2019-03-05,2019-03-05,suspension,relief,US extends suspension of tariff increase,core,True,False,False,True,m3_p3,7,7,-3,3,0,True,complete,True
E09,2019-03-05,2019-03-05,suspension,relief,US extends suspension of tariff increase,core,True,False,False,True,m5_p5,11,11,-5,5,0,True,complete,True
